"Name","Class","Marks"
"wbqac","qwdac","1886","0"
"qqcac","bfdqb","1967","1"
"wfqdq","qqdwq","1946","1"
"dfbqd","bwaff","1816","0"
"wfdqf","qbdqb","1431","0"
"aqwcb","waqfw","1080","1"
"cdbdd","cadaq","1830","1"
"ddwqw","cqqqd","1919","1"
"wwfab","aqwwd","1407","1"
"cdada","qqqfb","1471","0"
"cqaqa","adqcf","1410","0"
"dfwac","qqqdw","1323","0"
"qcwab","addwd","1016","1"
"qfdbq","qqfcb","1269","1"
"qwcwq","dafaw","1537","1"
"cqbwa","aqfwd","1734","1"
"fcfqb","cddff","1218","0"
"dbwbf","ddddq","1732","0"
"qdqwa","cdddq","1039","0"
"fcdqd","dbdaq","1924","0"
"cdqdw","adfdb","1270","0"
"bffbq","qddwd","1138","0"
"cwqfd","waqaq","1804","1"
"cbdbf","qwwqb","1280","1"
"qbfdd","dcqaq","1880","1"
"cdwqa","qfqfd","1518","1"
"wqdwd","dcdbd","1427","0"
"qdwcq","qffda","1824","0"
"cdbbb","aqqqb","1927","1"
"wwadq","cdqwq","1760","0"
"dbqqa","bccwb","1514","1"
"qddqf","dqqdq","1246","1"
"baddd","ddbqd","1209","0"
"acdab","qafwb","1463","0"
"fqqbw","aqddd","1225","1"
"dqcdb","bqwdf","1672","1"
"qcqqd","wdfqb","1239","0"
"cqwdc","qdfdw","1782","1"
"caadq","dabaf","1386","1"
"dabww","qwqaq","1173","1"
"cfdqq","bcbfq","1140","1"
"dbqdc","ddcdw","1787","0"
"qqcad","bqadc","1739","1"
"bbaqq","dqcww","1186","1"
"acdbd","wwfca","1843","1"
"dqffd","dddbd","1748","0"
"bdffd","qbcwq","1446","1"
"dddbb","qqcdf","1693","1"
"cdcqq","dwdqc","1665","0"
"bcddd","wfdqd","1615","1"
"fcdwc","bddfd","1488","0"
"dwqdc","wcqqd","1870","0"
"daadf","fqwdd","1254","0"
"addda","dbbbq","1484","0"
"cddaf","qffdb","1832","1"
"qbwfd","qwbdf","1390","0"
"qbfdd","daaad","1167","0"
"dqwbd","aqacd","1704","1"
"fcddw","qaddf","1931","0"
"cqfqa","bqqbq","1273","0"
"cfwfq","wbdbw","1421","0"
"wbbwa","bcqcq","1199","1"
"fdffq","dqqqf","1534","0"
"wqfqa","daqcw","1738","1"
"cdqad","dbfqq","1181","0"
"qwacb","qwcdd","1726","0"
"dabwd","wwbfq","1647","0"
"qafbq","dqada","1705","1"
"cbddb","bcbdd","1110","0"
"cqqdd","qbdbw","1295","1"
"fwqdq","ccccq","1286","1"
"qqqfq","dcwdf","1471","0"
"fqwcc","dafbd","1270","1"
"afqqb","addwc","1204","1"
"aaadc","aaqaa","1044","1"
"abdfw","bdqdw","1036","1"
"wfffq","qawba","1710","1"
"qfqca","dcddw","1469","0"
"bdddd","fdaqa","1661","1"
"qbdqw","qqaff","1022","0"
"wabfq","qdwcc","1852","1"
"qqbqb","aqawq","1807","1"
"dwbda","fcfcw","1630","0"
"fqqqb","awqqc","1627","1"
"dwdwd","qbwcq","1487","0"
"dwqbw","cccfq","1286","1"
"qwcbw","qqadb","1932","1"
"dfbqd","bacfw","1034","1"
"dqfwd","fqqcd","1525","1"
"afdda","dcdbc","1849","0"
"dfqwa","qdwdf","1147","1"
"qdqqa","fcdbd","1388","0"
"dqdca","dwwqd","1260","0"
"qadqc","wbcdf","1450","0"
"fdfcq","wadwa","1947","0"
"bqdbq","cdqwq","1286","0"
"wdqqw","fddaf","1126","0"
"qqdca","bqqaf","1320","0"
"ddfqd","qqcbd","1475","0"
"cdqba","bbdbb","1481","0"
"dfdad","bafcq","1663","0"
"qcfbb","qdaad","1141","1"
"awqbb","wcqcq","1143","1"
"adwwd","ddadw","1957","1"
"ffwcd","dcdww","1196","0"
"bdaqq","dqdbb","1865","1"
"dbwba","cawfq","1889","1"
"caqbq","qqbac","1973","1"
"abqwc","adqwd","1231","1"
"qbbfd","ddwcb","1546","1"
"caadq","ccddq","1619","0"
"qcaca","baqqc","1793","0"
"caqfq","dcfbq","1861","1"
"abdac","bdacf","1476","0"
"fqwqa","wqdwb","1824","0"
"badwc","dabab","1013","1"
"bbdwd","adbqf","1424","0"
"qaaqd","bwdaq","1082","1"
"qbawd","fqaaf","1212","0"
"bcawc","dqbdd","1145","0"
"dccba","adacb","1335","0"
